Implementation,Iterations,Threads,Accounts,Time(ms),FinalBalance
bank,1000,2,250,0,100000
bank,1000,4,250,1,100000
bank,1000,8,250,2,100000
bank,1000,16,250,4,100000
bank,1000,2,1000,0,100000
bank,1000,4,1000,1,100000
bank,1000,8,1000,3,100000
bank,1000,16,1000,7,100000
bank,1000,2,10000,3,100000
bank,1000,4,10000,8,100000
bank,1000,8,10000,16,100000
bank,1000,16,10000,35,100000
bank,10000,2,250,4,100000
bank,10000,4,250,10,100000
bank,10000,8,250,22,100000
bank,10000,16,250,45,100000
bank,10000,2,1000,7,100000
bank,10000,4,1000,16,100000
bank,10000,8,1000,33,100000
bank,10000,16,1000,68,100000
bank,10000,2,10000,39,100000
bank,10000,4,10000,82,100000
bank,10000,8,10000,177,100000
bank,10000,16,10000,349,100000
bank,100000,2,250,43,100000
bank,100000,4,250,110,100000
bank,100000,8,250,229,100000
bank,100000,16,250,464,100000
bank,100000,2,1000,73,100000
bank,100000,4,1000,168,100000
bank,100000,8,1000,344,100000
bank,100000,16,1000,691,100000
bank,100000,2,10000,383,100000
bank,100000,4,10000,803,100000
bank,100000,8,10000,1757,100000
bank,100000,16,10000,3468,100000
bank,1000000,2,250,413,100000
bank,1000000,4,250,1116,100000
bank,1000000,8,250,2290,100000
bank,1000000,16,250,4678,100000
bank,1000000,2,1000,721,100000
bank,1000000,4,1000,1682,100000
bank,1000000,8,1000,3455,100000
bank,1000000,16,1000,6936,100000
bank,1000000,2,10000,3800,100000
bank,1000000,4,10000,7922,100000
bank,1000000,8,10000,17371,100000
bank,1000000,16,10000,34768,100000
bank,10000000,2,250,4141,100000
bank,10000000,4,250,11149,100000
bank,10000000,8,250,23036,100000
bank,10000000,16,250,46338,100000
bank,10000000,2,1000,7092,100000
bank,10000000,4,1000,16658,100000
bank,10000000,8,1000,34278,100000
bank,10000000,16,1000,69677,100000
bank,10000000,2,10000,37501,100000
bank,10000000,4,10000,79463,100000
bank,10000000,8,10000,174387,100000
bank,10000000,16,10000,350609,100000
